Name,general_data_name,model_representation_fn_path,model_composition_fn_path,general_train_rule,general_date,train_valid_loss,train_test_accuracy,train_loss,train_test_loss,train_accuracy,train_valid_accuracy
supervised/supervised_logic_complete_54,comp_r10_n100_ov,codes.model.gat.sig_edge_gat.GatedNodeGatEncoder,codes.model.gat.edge_gat.GatedGatEncoder,rule_9,2020-01-29 15:13,0.1150781325995922,0.7580145448446274,0.06552580390125513,1.4770216047763824,0.9824678301811218,0.957974135875702
supervised/supervised_logic_complete_123,comp_r10_n100_ov,codes.model.gat.sig_edge_gat.GatedNodeGatEncoder,codes.model.rgcn.rgcn.CompositionRGCNEncoder,rule_20,2020-01-29 13:45,0.4821283519268036,0.7561287730932236,0.14291527047753333,1.1260179579257965,0.9596162676811218,0.8557381480932236
supervised/supervised_logic_complete_292,comp_r10_n100_ov,codes.model.models.Param,codes.model.rgcn.rgcn.CompositionRGCNEncoder,rule_48,2020-01-29 16:15,0.18616416677832603,0.753434807062149,0.14620715677738189,1.0095511227846146,0.9495289534330368,0.9429216086864473
supervised/supervised_logic_complete_212,comp_r10_n100_ov,codes.model.gcn.gcn.RepresentationGCNEncoder,codes.model.gat.edge_gat.GatedGatEncoder,rule_35,2020-01-29 14:57,0.2086370438337326,0.7503704130649567,0.09640257097780704,1.0711823403835297,0.9731158077716828,0.9487809836864473
supervised/supervised_logic_complete_124,comp_r10_n100_ov,codes.model.models.Param,codes.model.rgcn.rgcn.CompositionRGCNEncoder,rule_20,2020-01-29 13:45,0.414825826883316,0.7498653084039688,0.2824068792164326,0.8741927891969681,0.9067555159330368,0.8688375502824783
supervised/supervised_logic_complete_280,comp_r10_n100_ov,codes.model.models.Param,codes.model.rgcn.rgcn.CompositionRGCNEncoder,rule_46,2020-01-29 15:38,0.5767050832509995,0.7490234375,0.39198838025331495,0.8829085528850555,0.8742647051811219,0.8138133138418198
supervised/supervised_logic_complete_228,comp_r10_n100_ov,codes.model.gat.sig_edge_gat.GatedNodeGatEncoder,codes.model.gat.edge_gat.GatedGatEncoder,rule_38,2020-01-29 15:07,0.014309915248304604,0.7481479048728943,0.01906613647006452,1.707111030817032,0.994140625,0.9968682676553726
supervised/supervised_logic_complete_56,comp_r10_n100_ov,codes.model.gcn.gcn.RepresentationGCNEncoder,codes.model.gat.edge_gat.GatedGatEncoder,rule_9,2020-01-29 14:14,0.15221296809613705,0.7438375502824783,0.07735887728631496,1.6733455657958984,0.9791704952716828,0.9577720910310744
supervised/supervised_logic_complete_145,comp_r10_n100_ov,codes.model.models.Param,codes.model.gat.edge_gat.GatedGatEncoder,rule_24,2020-01-29 14:19,0.07103393785655499,0.7431303858757019,0.018485720036551356,1.2508639991283417,0.9951401650905608,0.9759563505649568
supervised/supervised_logic_complete_216,comp_r10_n100_ov,codes.model.gat.sig_edge_gat.GatedNodeGatEncoder,codes.model.gat.edge_gat.GatedGatEncoder,rule_36,2020-01-29 15:00,0.04852323327213526,0.741682380437851,0.01916233142837882,1.4015240967273712,0.9949678301811218,0.9830953627824784
supervised/supervised_logic_complete_125,comp_r10_n100_ov,codes.model.gcn.gcn.RepresentationGCNEncoder,codes.model.rgcn.rgcn.CompositionRGCNEncoder,rule_20,2020-01-29 13:45,0.5615224093198776,0.7409078627824783,0.1053890461102128,1.7649760842323303,0.9626953125,0.8620016127824783
supervised/supervised_logic_complete_55,comp_r10_n100_ov,codes.model.models.Param,codes.model.gat.edge_gat.GatedGatEncoder,rule_9,2020-01-29 15:13,0.0993376187980175,0.7390557676553726,0.0425011420622468,1.5948956608772278,0.9892578125,0.969692885875702
supervised/supervised_logic_complete_234,comp_r10_n100_ov,codes.model.gat.sig_edge_gat.GatedNodeGatEncoder,codes.model.gat.edge_gat.GatedGatEncoder,rule_39,2020-01-29 15:10,0.04163914266973734,0.7370016127824783,0.006843696441501379,1.4568709135055542,0.9990234375,0.9919854551553726
supervised/supervised_logic_complete_296,comp_r10_n100_ov,codes.model.gcn.gcn.RepresentationGCNEncoder,codes.model.gat.edge_gat.GatedGatEncoder,rule_49,2020-01-29 16:15,0.017698779236525297,0.7336004823446274,0.01150412722490728,0.9494517147541046,0.9968979775905608,0.994140625
supervised/supervised_logic_complete_229,comp_r10_n100_ov,codes.model.models.Param,codes.model.gat.edge_gat.GatedGatEncoder,rule_38,2020-01-29 15:07,0.014560854528099298,0.7329943478107452,0.009798045444767922,1.834467262029648,0.998046875,0.9958917051553726
supervised/supervised_logic_complete_117,comp_r10_n100_ov,codes.model.gat.sig_edge_gat.GatedNodeGatEncoder,codes.model.rgcn.rgcn.CompositionRGCNEncoder,rule_19,2020-01-29 13:45,0.2926550768315792,0.7308391630649567,0.028259704075753688,2.0271000266075134,0.9951401650905608,0.9295191317796708
